y;y0;y1;d;quality
22624;22624;26412;0;2.7
22998;22998;30739;0;3.7
39789;23533;39789;1;5.7
30928;22625;30928;1;9.1
19773;19773;29679;0;2
35920;22843;35920;1;9
38500;26735;38500;1;9.4
33006;23540;33006;1;6.6
41713;29006;41713;1;6.3
21317;21317;29445;0;0.6
22398;22398;31671;0;2.1
19046;19046;33927;0;1.8
32551;20904;32551;1;6.9
26897;26897;25841;0;3.8
41748;31250;41748;1;7.7
28142;28142;20756;0;5
37820;25807;37820;1;7.2
36095;23743;36095;1;9.9
18504;18504;34051;0;3.8
36394;27041;36394;1;7.8
43972;23597;43972;1;9.3
21867;21867;25200;0;2.1
40269;23139;40269;1;6.5
16177;16177;37819;0;1.3
19156;19156;30020;0;2.7
22510;18240;22510;1;3.9
16214;16214;31909;0;0.1
14694;14694;27614;0;3.8
38387;25143;38387;1;8.7
21068;21068;31159;0;3.4
25266;25266;32956;0;4.8
34873;26847;34873;1;6
37266;26319;37266;1;4.9
14114;14114;28863;0;1.9
31858;24576;31858;1;8.3
31628;29748;31628;1;6.7
27862;21489;27862;1;7.9
16205;16205;26390;0;1.1
32106;28197;32106;1;7.2
20226;20226;29014;0;4.1
33391;27559;33391;1;8.2
26046;18689;26046;1;6.5
31331;23268;31331;1;7.8
40932;29302;40932;1;5.5
27284;27284;32490;0;5.3
42700;28669;42700;1;7.9
16234;16234;28778;0;0.2
32500;22788;32500;1;4.8
33657;27412;33657;1;7.3
29361;22675;29361;1;6.9
29513;17362;29513;1;4.8
43432;26093;43432;1;8.6
22363;22363;27751;0;4.4
17436;17436;35103;0;2.4
16589;16589;25810;0;0.7
16764;16764;22136;0;1
26089;26089;28708;0;3.2
36855;23015;36855;1;5.2
38529;22061;38529;1;6.6
39127;22322;39127;1;4.1
28324;26316;28324;1;9.1
25600;25600;38125;0;2.9
24501;24501;27187;0;4.6
23992;23992;30633;0;3.3
35930;27481;35930;1;6.5
22578;22578;26720;0;2.6
19654;19654;22005;0;4.8
32681;20372;32681;1;7.7
16364;16364;30337;0;0.8
31670;20510;31670;1;8.8
20033;20033;26315;0;3.4
36358;22937;36358;1;8.4
20870;20870;29433;0;3.5
23891;23891;31739;0;3.3
32643;21865;32643;1;4.8
31725;30390;31725;1;8.9
40400;26590;40400;1;8.6
25793;25793;33087;0;3.9
38874;22748;38874;1;7.8
30124;21010;30124;1;9.6
36592;21534;36592;1;4.3
27492;23954;27492;1;7.1
21907;21907;27867;0;4
21554;21554;24511;0;3.3
25711;21204;25711;1;7.6
28647;28647;37288;0;2
31653;22273;31653;1;7.1
15650;15650;28861;0;1.2
17725;17725;28452;0;2.5
22994;22994;31547;0;1.4
14971;14971;36402;0;2.4
19085;19085;36725;0;0.6
29119;22175;29119;1;6.4
29824;24534;29824;1;8.8
28623;27881;28623;1;7.8
29771;21768;29771;1;8
23443;23443;37837;0;4.6
32491;23294;32491;1;4.1
31495;28078;31495;1;8.1
31225;17249;31225;1;6
38226;30327;38226;1;6.5
24116;24116;31042;0;3.5
23092;23092;28743;0;2.7
